actual,ANFIS-GA,ANFIS-PSO,ANFIS-FF
0.026,0.2037,0.1983,0.2347
0.3105,0.3488,0.4472,0.4223
0.3834,0.3533,0.3385,0.3169
0.2112,0.2837,0.2509,0.2989
0.0721,0.1285,0.1039,0.1601
0.4102,0.3934,0.3865,0.3686
0.3444,0.4034,0.3838,0.4109
0.5127,0.4092,0.5438,0.4623
0.3067,0.2515,0.3004,0.3049
0.2732,0.1086,0.1519,0.1217
0.0904,0.1219,0.1776,0.1893
0.2986,0.1954,0.2287,0.2144
0.4806,0.46,0.4301,0.4399
0.6297,0.4309,0.4273,0.567
0.1247,0.1269,0.2278,0.1647
0.4198,0.46,0.4301,0.4399
0.4219,0.419,0.4352,0.4897
0.3105,0.3387,0.4265,0.2803
0.3129,0.4097,0.4054,0.4249
0.9389,0.8927,0.9011,0.6708
0.3704,0.3289,0.3352,0.4282
0.279,0.3725,0.3287,0.3248
0.2268,0.1824,0.27,0.2692
0.2979,0.2854,0.1713,0.2883
0.2903,0.4832,0.4369,0.5182
0.2166,0.4319,0.3109,0.2244
0.7451,0.3995,0.4799,0.4459
0.1443,0.2389,0.2649,0.2402
1,0.9429,1.0414,0.9155
0.3058,0.3112,0.3297,0.3499
0.2962,0.1383,0.1779,0.1814
0.2999,0.5577,0.3417,0.34
0.3626,0.2003,0.1265,0.2572
0.2537,0.0426,0.1939,0.2006
0.1491,0.2082,0.2805,0.2596
0.3534,0.3107,0.3098,0.3293
0.649,0.673,0.4625,0.702
0.2704,0.1677,0.2039,0.169
0.1085,0.1322,0.1346,0.1159
0.2745,0.0579,0.1912,0.1373
0.2109,0.4434,0.2842,0.5085
0.3821,0.5291,0.4682,0.4946
0.4952,0.3978,0.3686,0.4485
0.9337,0.647,0.9609,0.8328
0.3957,0.2553,0.4402,0.3849
0.0652,0.1171,0.2177,0.1943
0.1621,0.1105,0.2245,0.2297
0.6729,0.4198,0.6667,0.5215
0.0393,0.0045,0.0638,0.0938
0.2819,0.3015,0.4869,0.2918
0.3457,0.2339,0.2606,0.2452
0.399,0.2876,0.4873,0.2424
0.061,0.0162,0.0801,0.1501
0.1274,0.0402,0.0259,0.0381
0.3768,0.2069,0.2814,0.3569
0.1578,0.3017,0.1755,0.2123
0.5466,0.3531,0.4667,0.3684
0.3266,0.3496,0.319,0.2837
0.286,0.3048,0.2277,0.3194
0.4051,0.3695,0.343,0.3758
0.3643,0.4053,0.3737,0.3242
0.1708,0.1788,0.2173,0.1675
0.07,0.3192,0.1973,0.1442
0.4965,0.5316,0.2631,0.5533
0.5108,0.5284,0.3762,0.4887
0.199,0.1304,0.1779,0.179
0.2153,0.1394,0.1749,0.1534
0.4826,0.2595,0.3074,0.2931
0.5739,0.395,0.3522,0.3753
0.9507,0.9786,0.847,0.5035
0.3834,0.3625,0.3792,0.7148
0.2651,0.2767,0.2976,0.3762
0.4974,0.4739,0.4422,0.6502
0.1681,0.1285,0.1039,0.1601
0.218,0.1464,0.195,0.1508
0.8989,0.5534,0.5085,0.6655
0.2576,0.4793,0.429,0.5097
0.1192,0.1788,0.2173,0.1675
0.304,0.1835,0.2656,0.2891
0.3774,0.472,0.4781,0.7414
0.2145,0.1406,0.2285,0.1615
1,0.9429,1.0414,0.9155
0.1306,0.2252,0.247,0.2254
0.9122,0.8498,0.8627,0.6499
0.2858,0.1872,0.2272,0.213
0.3499,0.4393,0.318,0.3661
0.6584,0.6634,0.4138,0.4539
0.3626,0.3655,0.404,0.4615
0.3819,0.3905,0.3766,0.4181
0.5673,0.3647,0.3801,0.4951
0.5348,0.3741,0.4779,0.4434
0.2037,0.2329,0.2459,0.2233
0.5613,0.7263,0.5747,0.638
1,1.0699,1.0348,0.9273
0.2546,0.2838,0.317,0.3539
0.6953,0.7944,0.746,0.5517
0.2085,0.2198,0.2767,0.1816
0.0465,0.0364,0.2394,0.2755
0.0911,0.125,0.1716,0.157
0.2182,0.3559,0.3434,0.3388
0.1604,0.3934,0.4082,0.211
0.1063,0.2741,0.3193,0.1336
0.1882,0.0815,0.1314,0.0847
0.1676,0.2716,0.2929,0.2311
0.1147,0.2572,0.2873,0.3
0.1865,0.3896,0.2363,0.1002
0.2879,0.2755,0.3655,0.3361
0.1441,0.1292,0.174,0.1396
0.0348,0.0429,0.092,0.1066
0.0583,0.1972,0.1209,0.2911
0.1952,0.1336,0.1812,0.126
0.3858,0.3766,0.191,0.2223
0.0982,0.0786,0.1241,0.1266
0.056,0.1423,0.215,0.1788
0.045,0.0451,0.1823,0.0645
0.0529,0.1292,0.1574,0.1169
0.1556,0.1524,0.1861,0.1447
0.4095,0.4434,0.2842,0.5085
0.9033,0.6147,0.9649,0.7849
0.9934,1.0324,0.9686,0.9276
0.5596,0.3503,0.5366,0.5044
0.3559,0.4188,0.4037,0.4781
0.0525,0.1585,0.0495,0.0298
0.0995,0.1087,0.1038,0.0314
0.3493,0.3571,0.3778,0.3966
0.5973,0.5736,0.5113,0.655
0.3419,0.5391,0.4655,0.5222
0.2945,0.076,0.2774,0.3436
0.2504,0.2474,0.0336,0.2349
0.9062,0.9388,0.27,0.3736
0.9419,1.0004,0.507,0.4843
0.1247,0.0406,0.092,0.1497
0.4611,0.3338,0.4999,0.482
0.0866,0.0858,0.0624,0.1317
